image,true,predicted
escargots/216752,escargots,foie_gras
dumplings/2645967,dumplings,foie_gras
samosa/3492341,samosa,foie_gras
takoyaki/3021168,takoyaki,foie_gras
shrimp_and_grits/3050912,shrimp_and_grits,foie_gras
bread_pudding/1548953,bread_pudding,foie_gras
prime_rib/2304359,prime_rib,foie_gras
creme_brulee/645974,creme_brulee,foie_gras
chicken_curry/2520161,chicken_curry,foie_gras
cannoli/739803,cannoli,foie_gras
steak/776184,steak,foie_gras
escargots/2595302,escargots,foie_gras
ceviche/467415,ceviche,foie_gras
shrimp_and_grits/3686042,shrimp_and_grits,foie_gras
fried_calamari/2801931,fried_calamari,foie_gras
omelette/2104947,omelette,foie_gras
pork_chop/1879458,pork_chop,foie_gras
shrimp_and_grits/894946,shrimp_and_grits,foie_gras
ceviche/3351560,ceviche,foie_gras
pad_thai/3878928,pad_thai,foie_gras
dumplings/3033503,dumplings,foie_gras
baklava/1520628,baklava,foie_gras
peking_duck/489338,peking_duck,foie_gras
pulled_pork_sandwich/956692,pulled_pork_sandwich,foie_gras
tuna_tartare/2878354,tuna_tartare,foie_gras
poutine/3621153,poutine,foie_gras
ramen/328566,ramen,foie_gras
takoyaki/225871,takoyaki,foie_gras
donuts/3109986,donuts,foie_gras
escargots/3821272,escargots,foie_gras
pulled_pork_sandwich/800659,pulled_pork_sandwich,foie_gras
baklava/881362,baklava,foie_gras
pancakes/1284423,pancakes,foie_gras
lobster_roll_sandwich/2198129,lobster_roll_sandwich,foie_gras
lobster_bisque/2382398,lobster_bisque,foie_gras
deviled_eggs/2797057,deviled_eggs,foie_gras
baklava/3570121,baklava,foie_gras
takoyaki/367683,takoyaki,foie_gras
garlic_bread/3142950,garlic_bread,foie_gras
nachos/2863042,nachos,foie_gras
frozen_yogurt/1591111,frozen_yogurt,foie_gras
tacos/729481,tacos,foie_gras
ice_cream/2804821,ice_cream,foie_gras
carrot_cake/3321392,carrot_cake,foie_gras
french_onion_soup/454841,french_onion_soup,foie_gras
chocolate_mousse/761584,chocolate_mousse,foie_gras
garlic_bread/1244438,garlic_bread,foie_gras
deviled_eggs/1315876,deviled_eggs,foie_gras
beef_tartare/3508625,beef_tartare,foie_gras
chicken_curry/478992,chicken_curry,foie_gras
caprese_salad/2525345,caprese_salad,foie_gras
eggs_benedict/3220461,eggs_benedict,foie_gras
miso_soup/3454724,miso_soup,foie_gras
ramen/1491385,ramen,foie_gras
french_fries/2705078,french_fries,foie_gras
donuts/1581488,donuts,foie_gras
caesar_salad/3743543,caesar_salad,foie_gras
mussels/3118008,mussels,foie_gras
donuts/667338,donuts,foie_gras
shrimp_and_grits/3004459,shrimp_and_grits,foie_gras
apple_pie/884504,apple_pie,foie_gras
poutine/719473,poutine,foie_gras
shrimp_and_grits/2566355,shrimp_and_grits,foie_gras
hot_and_sour_soup/2855699,hot_and_sour_soup,foie_gras
hummus/2815731,hummus,foie_gras
fish_and_chips/3469590,fish_and_chips,foie_gras
gyoza/2370239,gyoza,foie_gras
sushi/1119011,sushi,foie_gras
baklava/1823708,baklava,foie_gras
beef_tartare/3432164,beef_tartare,foie_gras
shrimp_and_grits/3731780,shrimp_and_grits,foie_gras
ramen/3815414,ramen,foie_gras
macarons/3472429,macarons,foie_gras
croque_madame/1295753,croque_madame,foie_gras
escargots/1632728,escargots,foie_gras
prime_rib/50193,prime_rib,foie_gras
cheesecake/3358318,cheesecake,foie_gras
miso_soup/3403371,miso_soup,foie_gras
beignets/657579,beignets,foie_gras
fish_and_chips/2242345,fish_and_chips,foie_gras
beef_carpaccio/1281446,beef_carpaccio,foie_gras
cup_cakes/546879,cup_cakes,foie_gras
escargots/1379239,escargots,foie_gras
macarons/1429996,macarons,foie_gras
risotto/2985248,risotto,foie_gras
onion_rings/3779076,onion_rings,foie_gras
escargots/2309869,escargots,foie_gras
pad_thai/2248834,pad_thai,foie_gras
apple_pie/532019,apple_pie,foie_gras
ice_cream/71511,ice_cream,foie_gras
french_fries/848492,french_fries,foie_gras
macarons/492902,macarons,foie_gras
gnocchi/8880,gnocchi,foie_gras
nachos/489083,nachos,foie_gras
caesar_salad/3414996,caesar_salad,foie_gras
waffles/1608606,waffles,foie_gras
pho/2912658,pho,foie_gras
seaweed_salad/1067671,seaweed_salad,foie_gras
caesar_salad/3659545,caesar_salad,foie_gras
baby_back_ribs/2432,baby_back_ribs,foie_gras
red_velvet_cake/2436212,red_velvet_cake,foie_gras
french_fries/10500,french_fries,foie_gras
pho/3613959,pho,foie_gras
baklava/3452248,baklava,foie_gras
sushi/2895265,sushi,foie_gras
croque_madame/1765151,croque_madame,foie_gras
bibimbap/2304525,bibimbap,foie_gras
french_toast/1625428,french_toast,foie_gras
filet_mignon/2468503,filet_mignon,foie_gras
gyoza/3428323,gyoza,foie_gras
crab_cakes/2920552,crab_cakes,foie_gras
grilled_salmon/1615401,grilled_salmon,foie_gras
creme_brulee/2449383,creme_brulee,foie_gras
chicken_quesadilla/1367589,chicken_quesadilla,foie_gras
fried_rice/2569230,fried_rice,foie_gras
caprese_salad/2118947,caprese_salad,foie_gras
cheese_plate/275439,cheese_plate,foie_gras
panna_cotta/2474039,panna_cotta,foie_gras
french_toast/207433,french_toast,foie_gras
chicken_wings/974200,chicken_wings,foie_gras
carrot_cake/3348258,carrot_cake,foie_gras
guacamole/1211293,guacamole,foie_gras
french_toast/94694,french_toast,foie_gras
sushi/1080963,sushi,foie_gras
chicken_wings/1471983,chicken_wings,foie_gras
apple_pie/1878082,apple_pie,foie_gras
cup_cakes/722859,cup_cakes,foie_gras
gyoza/118226,gyoza,foie_gras
chocolate_mousse/1169204,chocolate_mousse,foie_gras
beet_salad/3246685,beet_salad,foie_gras
beet_salad/410085,beet_salad,foie_gras
ceviche/1466241,ceviche,foie_gras
mussels/3440260,mussels,foie_gras
chicken_quesadilla/3569781,chicken_quesadilla,foie_gras
apple_pie/175848,apple_pie,foie_gras
croque_madame/2986806,croque_madame,foie_gras
chicken_curry/3039770,chicken_curry,foie_gras
sushi/124279,sushi,foie_gras
strawberry_shortcake/2720860,strawberry_shortcake,foie_gras
sushi/301603,sushi,foie_gras
onion_rings/784882,onion_rings,foie_gras
beef_tartare/3718617,beef_tartare,foie_gras
oysters/1901974,oysters,foie_gras
beet_salad/662141,beet_salad,foie_gras
fish_and_chips/3340230,fish_and_chips,foie_gras
huevos_rancheros/2669866,huevos_rancheros,foie_gras
pho/730353,pho,foie_gras
lobster_roll_sandwich/778665,lobster_roll_sandwich,foie_gras
fried_rice/2394276,fried_rice,foie_gras
club_sandwich/1290943,club_sandwich,foie_gras
pizza/248199,pizza,foie_gras
cannoli/2698239,cannoli,foie_gras
cannoli/548477,cannoli,foie_gras
pulled_pork_sandwich/1998859,pulled_pork_sandwich,foie_gras
french_onion_soup/2384444,french_onion_soup,foie_gras
dumplings/2383789,dumplings,foie_gras
hummus/267254,hummus,foie_gras
chicken_wings/846921,chicken_wings,foie_gras
french_fries/631606,french_fries,foie_gras
risotto/3781789,risotto,foie_gras
hot_dog/423659,hot_dog,foie_gras
panna_cotta/780879,panna_cotta,foie_gras
breakfast_burrito/273350,breakfast_burrito,foie_gras
takoyaki/1347978,takoyaki,foie_gras
french_onion_soup/2517063,french_onion_soup,foie_gras
hummus/604247,hummus,foie_gras
onion_rings/1642541,onion_rings,foie_gras
oysters/2414007,oysters,foie_gras
nachos/3065508,nachos,foie_gras
pad_thai/171839,pad_thai,foie_gras
eggs_benedict/2021733,eggs_benedict,foie_gras
lobster_roll_sandwich/474538,lobster_roll_sandwich,foie_gras
pulled_pork_sandwich/912070,pulled_pork_sandwich,foie_gras
tiramisu/368132,tiramisu,foie_gras
oysters/3264761,oysters,foie_gras
cheesecake/3788373,cheesecake,foie_gras
garlic_bread/184106,garlic_bread,foie_gras
spaghetti_carbonara/1330080,spaghetti_carbonara,foie_gras
caprese_salad/2973306,caprese_salad,foie_gras
cheesecake/776803,cheesecake,foie_gras
paella/2464951,paella,foie_gras
tiramisu/856381,tiramisu,foie_gras
edamame/934964,edamame,foie_gras
spaghetti_bolognese/1615859,spaghetti_bolognese,foie_gras
samosa/778752,samosa,foie_gras
clam_chowder/1023891,clam_chowder,foie_gras
lasagna/3380510,lasagna,foie_gras
scallops/1941902,scallops,foie_gras
ravioli/28156,ravioli,foie_gras
carrot_cake/2159048,carrot_cake,foie_gras
grilled_salmon/1713655,grilled_salmon,foie_gras
ice_cream/995145,ice_cream,foie_gras
spaghetti_bolognese/1233406,spaghetti_bolognese,foie_gras
eggs_benedict/1695409,eggs_benedict,foie_gras
croque_madame/2580175,croque_madame,foie_gras
scallops/1512506,scallops,foie_gras
huevos_rancheros/442522,huevos_rancheros,foie_gras
frozen_yogurt/3477640,frozen_yogurt,foie_gras
pizza/3442426,pizza,foie_gras
lasagna/3673686,lasagna,foie_gras
cup_cakes/899264,cup_cakes,foie_gras
beignets/217043,beignets,foie_gras
dumplings/1122206,dumplings,foie_gras
french_onion_soup/2221974,french_onion_soup,foie_gras
pad_thai/1097554,pad_thai,foie_gras
fried_rice/931764,fried_rice,foie_gras
chocolate_cake/2697591,chocolate_cake,foie_gras
prime_rib/325724,prime_rib,foie_gras
cannoli/1920904,cannoli,foie_gras
huevos_rancheros/1691124,huevos_rancheros,foie_gras
nachos/92485,nachos,foie_gras
croque_madame/1278821,croque_madame,foie_gras
fried_calamari/2798977,fried_calamari,foie_gras
spaghetti_carbonara/2175760,spaghetti_carbonara,foie_gras
creme_brulee/919228,creme_brulee,foie_gras
pad_thai/368505,pad_thai,foie_gras
paella/2286630,paella,foie_gras
mussels/2250479,mussels,foie_gras
beef_carpaccio/795452,beef_carpaccio,foie_gras
macarons/1799415,macarons,foie_gras
garlic_bread/379723,garlic_bread,foie_gras
spaghetti_bolognese/1860161,spaghetti_bolognese,foie_gras
french_fries/1384733,french_fries,foie_gras
guacamole/2471357,guacamole,foie_gras
paella/528357,paella,foie_gras
apple_pie/1034399,apple_pie,foie_gras
chocolate_cake/2774050,chocolate_cake,foie_gras
eggs_benedict/3070975,eggs_benedict,foie_gras
donuts/1663053,donuts,foie_gras
tacos/1026681,tacos,foie_gras
french_toast/2872314,french_toast,foie_gras
mussels/2904122,mussels,foie_gras
panna_cotta/3465885,panna_cotta,foie_gras
escargots/878274,escargots,foie_gras
ramen/1118224,ramen,foie_gras
chicken_quesadilla/1133811,chicken_quesadilla,foie_gras
poutine/1000631,poutine,foie_gras
escargots/3731539,escargots,foie_gras
chicken_wings/3756335,chicken_wings,foie_gras
huevos_rancheros/1033838,huevos_rancheros,foie_gras
eggs_benedict/1418539,eggs_benedict,foie_gras
gnocchi/598110,gnocchi,foie_gras
deviled_eggs/3255162,deviled_eggs,foie_gras
club_sandwich/2256162,club_sandwich,foie_gras
chocolate_mousse/778875,chocolate_mousse,foie_gras
grilled_cheese_sandwich/69100,grilled_cheese_sandwich,foie_gras
steak/2475366,steak,foie_gras
fried_calamari/3221335,fried_calamari,foie_gras
dumplings/2014823,dumplings,foie_gras
french_onion_soup/3581942,french_onion_soup,foie_gras
lobster_roll_sandwich/915248,lobster_roll_sandwich,foie_gras
churros/1572415,churros,foie_gras
garlic_bread/771610,garlic_bread,foie_gras
greek_salad/402562,greek_salad,foie_gras
pork_chop/929555,pork_chop,foie_gras
beef_tartare/1222472,beef_tartare,foie_gras
mussels/3761556,mussels,foie_gras
croque_madame/497428,croque_madame,foie_gras
breakfast_burrito/15854,breakfast_burrito,foie_gras
mussels/1034519,mussels,foie_gras
spaghetti_carbonara/2351252,spaghetti_carbonara,foie_gras
club_sandwich/3298554,club_sandwich,foie_gras
carrot_cake/1007814,carrot_cake,foie_gras
caesar_salad/2627557,caesar_salad,foie_gras
tacos/1557207,tacos,foie_gras
tiramisu/2097382,tiramisu,foie_gras
spaghetti_bolognese/1967738,spaghetti_bolognese,foie_gras
garlic_bread/737285,garlic_bread,foie_gras
mussels/374654,mussels,foie_gras
french_onion_soup/2591889,french_onion_soup,foie_gras
breakfast_burrito/273328,breakfast_burrito,foie_gras
mussels/2130675,mussels,foie_gras
huevos_rancheros/640647,huevos_rancheros,foie_gras
hummus/2475900,hummus,foie_gras
escargots/1444464,escargots,foie_gras
ice_cream/2052811,ice_cream,foie_gras
frozen_yogurt/3714136,frozen_yogurt,foie_gras
cheese_plate/3053511,cheese_plate,foie_gras
pancakes/967679,pancakes,foie_gras
caprese_salad/3122855,caprese_salad,foie_gras
crab_cakes/706444,crab_cakes,foie_gras
croque_madame/3227694,croque_madame,foie_gras
crab_cakes/1326535,crab_cakes,foie_gras
poutine/2035522,poutine,foie_gras
strawberry_shortcake/1631236,strawberry_shortcake,foie_gras
lasagna/2173466,lasagna,foie_gras
filet_mignon/506134,filet_mignon,foie_gras
pad_thai/2828616,pad_thai,foie_gras
tacos/904583,tacos,foie_gras
beef_carpaccio/3896605,beef_carpaccio,foie_gras
sashimi/852798,sashimi,foie_gras
escargots/327202,escargots,foie_gras
beet_salad/2489369,beet_salad,foie_gras
oysters/388884,oysters,foie_gras
creme_brulee/787469,creme_brulee,foie_gras
macaroni_and_cheese/304675,macaroni_and_cheese,foie_gras
breakfast_burrito/1324698,breakfast_burrito,foie_gras
hot_and_sour_soup/1327716,hot_and_sour_soup,foie_gras
gnocchi/2444987,gnocchi,foie_gras
garlic_bread/3547946,garlic_bread,foie_gras
poutine/1803037,poutine,foie_gras
club_sandwich/3900686,club_sandwich,foie_gras
scallops/3621722,scallops,foie_gras
pork_chop/245214,pork_chop,foie_gras
edamame/561133,edamame,foie_gras
edamame/2766678,edamame,foie_gras
caesar_salad/3897712,caesar_salad,foie_gras
falafel/2638437,falafel,foie_gras
cheese_plate/280900,cheese_plate,foie_gras
bread_pudding/2289864,bread_pudding,foie_gras
scallops/1244465,scallops,foie_gras
chicken_curry/2151015,chicken_curry,foie_gras
croque_madame/1465159,croque_madame,foie_gras
chicken_wings/1185396,chicken_wings,foie_gras
strawberry_shortcake/1722854,strawberry_shortcake,foie_gras
dumplings/2736144,dumplings,foie_gras
falafel/294461,falafel,foie_gras
mussels/2885443,mussels,foie_gras
poutine/1957430,poutine,foie_gras
chocolate_cake/881878,chocolate_cake,foie_gras
bibimbap/466209,bibimbap,foie_gras
baby_back_ribs/1022479,baby_back_ribs,foie_gras
beet_salad/3138089,beet_salad,foie_gras
caesar_salad/3244439,caesar_salad,foie_gras
mussels/141375,mussels,foie_gras
tiramisu/3290255,tiramisu,foie_gras
paella/1297738,paella,foie_gras
spring_rolls/2078556,spring_rolls,foie_gras
clam_chowder/2691757,clam_chowder,foie_gras
ramen/1252847,ramen,foie_gras
paella/631532,paella,foie_gras
fried_calamari/3492073,fried_calamari,foie_gras
omelette/1732647,omelette,foie_gras
oysters/3245460,oysters,foie_gras
ceviche/3829333,ceviche,foie_gras
paella/2221214,paella,foie_gras
hamburger/903277,hamburger,foie_gras
beet_salad/3482983,beet_salad,foie_gras
bibimbap/1667664,bibimbap,foie_gras
red_velvet_cake/541150,red_velvet_cake,foie_gras
risotto/1858193,risotto,foie_gras
club_sandwich/797815,club_sandwich,foie_gras
chicken_quesadilla/2151196,chicken_quesadilla,foie_gras
edamame/1358610,edamame,foie_gras
huevos_rancheros/478499,huevos_rancheros,foie_gras
escargots/1294149,escargots,foie_gras
hot_and_sour_soup/1083094,hot_and_sour_soup,foie_gras
pad_thai/124133,pad_thai,foie_gras
grilled_salmon/3031994,grilled_salmon,foie_gras
spaghetti_carbonara/10053,spaghetti_carbonara,foie_gras
falafel/3786829,falafel,foie_gras
ceviche/2330508,ceviche,foie_gras
prime_rib/520701,prime_rib,foie_gras
churros/2236356,churros,foie_gras
caprese_salad/1502492,caprese_salad,foie_gras
ceviche/108695,ceviche,foie_gras
gyoza/1719750,gyoza,foie_gras
edamame/2618999,edamame,foie_gras
fish_and_chips/463240,fish_and_chips,foie_gras
cannoli/976837,cannoli,foie_gras
scallops/709978,scallops,foie_gras
ceviche/2399499,ceviche,foie_gras
garlic_bread/2422497,garlic_bread,foie_gras
ceviche/3855514,ceviche,foie_gras
beet_salad/3181758,beet_salad,foie_gras
greek_salad/362753,greek_salad,foie_gras
grilled_salmon/2299173,grilled_salmon,foie_gras
lasagna/2720033,lasagna,foie_gras
chicken_wings/649842,chicken_wings,foie_gras
cheesecake/2439835,cheesecake,foie_gras
churros/2545695,churros,foie_gras
poutine/2624135,poutine,foie_gras
guacamole/3120789,guacamole,foie_gras
red_velvet_cake/3065313,red_velvet_cake,foie_gras
bibimbap/3799308,bibimbap,foie_gras
beignets/3291410,beignets,foie_gras
